Timestamp,In which age group do you belong?,Gender ,What is your native language(mother tongue)?,"""At what age did you start using social media platforms?""", ,How many hours you spend on Social Media platforms daily,What is your current status?,your organization name?,your department?,Degree,your current year of degree?,your Organization name?,Which department are you associated with?,your designation? ,Are you interested in this type of News?,"If you think it to be real, what are the reasons that lead you to this conclusion? select all","If you think it to be fake , what are the reasons that lead you to this conclusion?", ,"why the first one  real, and the second one is fake.","why you believed the second one was real, and the first one is fake.","When you encounter these posts on Instagram, what thoughts come to your mind?",What leads you to believe that the first one is real while considering the other two as rumors?,What leads you to believe that the first one is rumor while considering the other two as real news?,"When you encounter alarming and threatening messages and notifications on WhatsApp, what are your thoughts regarding them? ",Why do you believe it to be authentic?,Why do you not believe it to be authentic?,Are you interested in these type of news ,why you find it real?,"""Why do you believe the news is fake?""",select the correct option.,"""When you encounter this notification in the WhatsApp university group about tomorrow , what were your thoughts about it?""",if you find it real what you do?,if you find it fake What you will do,"""When you receive a notification about tomorrow from a colleague or any class student , what thoughts come to mind?""",What will you do when you find it real,What is your next step after finding it fake ,Are you interested in this post?,"if you have a desire to buy a car and you are encounter a Facebook post in which a seller wants to sell a car at a low price, what would you do? 

""For sale: Car price 8 lakh.""","after confirming its authenticity ""What would you do if the seller invites you to visit an underdeveloped area like Ghotki, Sindh to see the car?""",why do you think it might be fake?,Are you interested in this post ? ,what are the reasons for believing them.,why you think it might be fake ,Are you interested in this post ?,"if you encounter this news with such comments
·         Quetta ma ya nai poncho ya jhoot ha.
·         Allah raham kara. 
·         Asa kuch nai ha ya jhoot ha. 
·         Mara czn ko be ho gaya ha kindly koi bata sakta ha is sa khud ko kasa bachay. 
·         #Fake news.
·         Hahaha logo ka pass koi or kam nai jhooti khabara phalana ka elawa. 
Do you believe on it ?","if you encounter this news with such comments
·         Earka-e-gullab istamal karna sa app ke ankha bach sakte han
·         Quetta maryabad pink eye virus ka 10 suspects Banazir hospital ma admit han 
·         Ya rumor ha khayali makhloook ke sazish ha 
·         Pyaz katna na app ke ankho ka virus khatam ho sakt ha 
·         Pink eye virus Nawaz sharif ka mukabala nai kar sakta wo zada bara masla ha
.      Mint ka pataa ko pani ma bhego kar ankho dhona sa virus ka khatma ho sakta ha 

Do you believe on it ?","if you encounter this news with such comments
·         Covid ke waja sa mun cover karna tha ab is ke waja sa ankha be band kar la ya logo ke sazish ha taka hum dunya ma hona wala zulm ko zakh na saka 
·         Allah sab ke madad farmay 
·         Zada sa zada carrot ka istamal kara or bila zarorat bahar na nikla
·         Ya sab jhoot ha asas kuch nai ha ma khud doctor hun 
·         Ankho par kheeera rakhna sa virus khatam ho jay ga.
·         Fake news check the authentic source of updates.

Do you believe on it ?","You use Facebook and Instagram, while your friend uses WhatsApp and Twitter. In total, both of you use how many apps.(2+2)","When you determine that the news is real, what will you do?",Why you want to share it.,"When you observe a Fake news, what will you do?",why do you comment on a post.,how can you authenticate a news?
2023/10/24 7:11:49 PM GMT+5,18-24,Female,Bravi,13-18,Whatsapp;Instagram;Twitter,1 to 3 hours,Student,,IT ,bachelors,2 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.",Because of reading the negative quotes  on it,"You believed the first one is real, and the second one is fake.","Because of the name of the source ""GEO NEWS"" is known and  ""KALINGA TV"" is not",,first one is rumor and other two are real news.,,Because the sources of 2nd and 3rd are known for me,FAKE NEWS,,Irrelevant source ,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",No,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,4 social media apps,"""Leave a positive comment on it?""",I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,To tell my opinion,By fact-checking
2023/10/24 8:26:33 PM GMT+5,18-24,Female,Pashto ,19-24,Whatsapp,1 to 3 hours,Student,,Computer science and IT,bachelors,4 year,,,,Yes i am intreasted,Because of the account Blue Tick?,Because of reading the negative quotes  on it,I do not use Facebook,,,I do not use Instagram,,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Just because of signature I believe that it would be real not fake,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,Yes i am intreasted,Due to the blue tick means it has a lot of followers.,Just because of many things and less price ,NO i am not,,,,2 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,Authenticate it from other sources?,to aware and inform other,By finding on Authentic websites
2023/10/24 8:37:35 PM GMT+5,18-24,Male,Punjabi,13-18,Whatsapp;Facebook;Instagram;Twitter,4 to 6 hours,Student,,IT,bachelors,3 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I considered it fake,,Authentiate it from teachers,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,Share it with others ?,"I share content to connect, engage, and exchange views with my network.",Authenticate it from other sources?,to aware and inform other,By finding on Authentic websites
2023/10/24 9:04:07 PM GMT+5,18-24,Male,Balochi,<12,Whatsapp;Facebook;Instagram,4 to 6 hours,Student,,Computer science,bachelors,4 year,,,,Yes i am intreasted,Because I'm worried about my safety and the possibility of financial loss.,That dutch scientist has no credibility in predicting earthquakes,"You believed the first one is real, and the second one is fake.","Because of the name of the source ""GEO NEWS"" is known and  ""KALINGA TV"" is not",,first one is rumor and other two are real news.,,"Because of the authentic authority name ""PMD"" mentioned in the 2nd and 3rd",FAKE NEWS,,The letter from AC,Yes i am intreasted,"""Due to the company's name and the official body's signature.""","If I believe it is fake, it may be due to not being from official sources",Teacher,,,,Real,share in students group,,NO i am not,,,,no i am not,,,Yes i am,yes,yes,yes,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,Authenticate it from other sources?,To tell my opinion,By fact-checking
2023/10/24 10:22:25 PM GMT+5,18-24,Female,Pashto ,19-24,Whatsapp,less then 1 hour,Student,,Microbiology ,bachelors,1 year,,,,No i am not,,,,,,,,,,,,No i am not,,,Teacher,,,,Real,share with other university colleuges,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,,Share it with others ?,"I share content to connect, engage, and exchange views with my network.",ignore it,to aware and inform other,By fact-checking
2023/10/24 10:46:37 PM GMT+5,18-24,Female,Brahvi,<12,Whatsapp,4 to 6 hours,Student,,Microbiology ,bachelors,4 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,Yes i am intreasted,By checking the positive comments about them,Through customers review,NO i am not,,,,,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,I do not comment on posts,By finding on Authentic websites
2023/10/24 11:08:44 PM GMT+5,18-24,Male,Balochi ,13-18,Whatsapp;Facebook;Instagram;Twitter;Other,4 to 6 hours,Student,,Psychology ,Masters,3 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.;Because of Retweets , Views and Likes?;Because of the account Blue Tick?;Because of reading the positive quotes on it?",Because of the followers are not enough for you?,both are real,,,first one is rumor and other two are real news.,,"Because of the authentic authority name ""PMD"" mentioned in the 2nd and 3rd",REAL NEWS,Because of the mentioned name and signature of the authentic body,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",If it's not present at Google ,student,I find it real,share on  other social media platforms,,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,6 social media apps,Share it with others ?,"I share content to connect, engage, and exchange views with my network.",share it with other sources to inform about fake news,to aware and inform other,By finding on Authentic websites
2023/10/24 11:57:15 PM GMT+5,18-24,Male,Urdu,13-18,Whatsapp;Instagram;Twitter;Other,1 to 3 hours,Student,,Computer Science,bachelors,1 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",I check the other sources,student,I considered it fake,,Wait for any updates from teachers,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,Share it with others ?,I share content on social media to positively aware and inform others.,Leave a  negative comment with #fake news,To tell my opinion,By finding on Authentic websites
2023/10/25 11:49:20 AM GMT+5,18-24,Female,Balochi ,13-18,Whatsapp;Other,more than 12 hours,Student,,Cs,bachelors,1 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I find it real,First I'll confirm the news,,,,,NO i am not,,,,Yes i am intreasted,By checking the positive comments about them,Because of peoples opinions ,Yes i am,yes,yes,yes,,Share it with others ?,I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,to aware and inform other,By fact-checking
2023/10/25 1:48:36 PM GMT+5,18-24,Male,brahvi ,13-18,Whatsapp;Facebook,1 to 3 hours,Student,,social work ,bachelors,4 year,,,,Yes i am intreasted,"Because of the name of the source is known for you?;Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.;Because of Retweets , Views and Likes?;Because of the account Blue Tick?;Because of account Followers are huge for you?;Because of reading the positive quotes on it?;Because I'm worried about my safety and the possibility of financial loss.",Because of the source name is not known for you?,both are real,,,first one is rumor and other two are real news.,,Because the sources of 2nd and 3rd are known for me,REAL NEWS,Because of the mentioned name and signature of the authentic body,,No i am not,,,student,I find it real,share on  other social media platforms,,,,,NO i am not,,,,Yes i am intreasted,Source name is known for you,yes,Yes i am,yes,yes,yes,4 social media apps,Share it with others ?,I share content to promote my page  and for status seeking,Authenticate it from other sources?,for seeking attention.,By finding on Authentic websites
2023/10/25 7:15:54 PM GMT+5,18-24,Female,Pashto,13-18,Whatsapp;Instagram,4 to 6 hours,Student,,Computer science ,bachelors,3 year,,,,Yes i am intreasted,Because I'm worried about my safety and the possibility of financial loss.,Because of the source name is not known for you?,both are fake,,,I do not use Instagram,,,FAKE NEWS,,I dont believe,No i am not,,,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,Yes i am intreasted,Due to the blue tick means it has a lot of followers.,Because they are for gossip,NO i am not,,,,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,To tell my opinion,By finding on Authentic websites
2023/10/25 9:56:16 PM GMT+5,18-24,Female,pashto,19-24,Whatsapp;Instagram,1 to 3 hours,Student,,computer science ,bachelors,4 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I considered it fake,,Wait for any updates from teachers,,,,NO i am not,,,,Yes i am intreasted,Due to the blue tick means it has a lot of followers.,because no one can follow tha path of Islam ,NO i am not,,,,,ignore it,I share content to promote my page  and for status seeking,Authenticate it from other sources?,for seeking attention.,By fact-checking
2023/10/26 10:19:27 AM GMT+5,18-24,Male,Pastho,13-18,Instagram,4 to 6 hours,Student,,Cs,bachelors,3 year,,,,Yes i am intreasted,Because of the name of the source is known for you?,Because of the source name is not known for you?,I do not use Facebook,,,first one is rumor and other two are real news.,,Because the sources of 2nd and 3rd are known for me,I do not use WhatsApp,,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",Jdjdh,Teacher,,,,Fake,,ignore it,Yes i am interasted,i don't use Facebook,,,no i am not,,,NO i am not,,,,6 social media apps,ignore it,"I share content to connect, engage, and exchange views with my network.",ignore it,to pass time,sending a message to sincere relatives and asking please assist you.
2023/10/26 10:21:14 AM GMT+5,18-24,Male,Pashto,13-18,Whatsapp;Facebook;Instagram;Twitter,1 to 3 hours,Student,,Computer science ,bachelors,4 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I considered it fake,,Wait for any updates from teachers,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,"""Leave a positive comment on it?""",I share content on social media to positively aware and inform others.,ignore it,To tell my opinion,sending a message to sincere relatives and asking please assist you.
2023/10/26 10:21:17 AM GMT+5,18-24,Male,Punjabi,19-24,Facebook,less then 1 hour,Student,,,bachelors,4 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I considered it fake,,Wait for any updates from teachers,,,,Yes i am interasted,i don't use Facebook,,,Yes i am intreasted,Due to the blue tick means it has a lot of followers.,Trust issue,NO i am not,,,,,ignore it,I dont share,ignore it,I don't cmnt,I don't 
2023/10/26 10:26:46 AM GMT+5,18-24,Male,Brahui ,13-18,Whatsapp;Facebook;Instagram;Twitter,1 to 3 hours,Student,,Computer science (IT),bachelors,4 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I considered it fake,,Wait for any updates from teachers,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,ignore it,I ignore it ,ignore it,I ignore it ,By finding on Authentic websites
2023/10/26 10:30:24 AM GMT+5,18-24,Male,Pashto,19-24,Whatsapp;Facebook;Instagram,1 to 3 hours,Student,,Computer science,bachelors,3 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.;Because of reading the positive quotes on it?",Because of reading the negative quotes  on it,both are fake,,,first one is real and other two are rumors.,source of the first post is known for me,,FAKE NEWS,,I belive 1st one because of it was released by comisoner of quetta,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Because its not issued by some department,student,I find it real,share with other university WhatsApp groups,,,,,Yes i am interasted,"""I think it might be fake, so I'm ignoring it.""",,Because no one sell his car by low ,no i am not,,,NO i am not,,,,2 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,to aware and inform other,sending a message to sincere relatives and asking please assist you.
2023/10/26 10:33:37 AM GMT+5,18-24,Male,Pashto,19-24,Whatsapp;Instagram,less then 1 hour,Student,,Computer Science,bachelors,3 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.",Because of reading the negative quotes  on it,I do not use Facebook,,,first one is real and other two are rumors.,My belief is based on the higher number of likes and comments on the first post in comparison to the other two.,,FAKE NEWS,,Because earthquake is not predictable,No i am not,,,student,I considered it fake,,Authentiate it from teachers,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,To tell my opinion,sending a message to sincere relatives and asking please assist you.
2023/10/26 10:37:23 AM GMT+5,18-24,Male,Pashto,19-24,Whatsapp;Facebook;Instagram,1 to 3 hours,Student,,BSCS,bachelors,3 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.",Because of the source name is not known for you?,both are real,,,first one is rumor and other two are real news.,,"Because of the authentic authority name ""PMD"" mentioned in the 2nd and 3rd",I believe 50% cause it can be true or false so wait till the official report comes  ,,,No i am not,,,student,I considered it fake,,Wait for any updates from teachers,,,,Yes i am interasted,"""Check the comments to verify its authenticity.""",you request for viewing cars in your local area,,Yes i am intreasted,By checking the positive comments about them,Because people scam people with these fake online stores ,Yes i am,No,No,No,4 social media apps,I share with others to see what they say about.,i share content on social media because i encounter the same news from different sources and platforms,share it with other sources to inform about fake news,To tell my opinion,By fact-checking
2023/10/26 11:41:08 AM GMT+5,18-24,Male,Pushto,19-24,Whatsapp;Facebook;Instagram;Twitter;Other,4 to 6 hours,Student,,Pharm D,bachelors,4 year,,,,Yes i am intreasted,Because of account Followers are huge for you?;Because of reading the positive quotes on it?;Because I'm worried about my safety and the possibility of financial loss.,Because of the source name is not known for you?,"You believed the second one was real, and the first one is fake.",,Hate up,first one is rumor and other two are real news.,,Because the sources of 2nd and 3rd are known for me,REAL NEWS,I consider it genuine due to the fear of potential loss and financial consequences due to the threatening language used in the messages.,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",Yes,student,I find it real,share on  other social media platforms,,,,,Yes i am interasted,"""I'm trying to contact the seller to verify its authenticity.""",ignore it,,no i am not,,,Yes i am,No,No,yes,8 social media apps,ignore it,"I share content to connect, engage, and exchange views with my network.",ignore it,to pass time,By fact-checking
2023/10/26 11:53:42 AM GMT+5,18-24,Male,Persian ,13-18,Whatsapp;Facebook;Instagram,1 to 3 hours,Student,,Geography & Regional Planning ,bachelors,4 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I considered it fake,,Wait for any updates from teachers,,,,NO i am not,,,,no i am not,,,NO i am not,,,,,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,for seeking attention.,By fact-checking
2023/10/26 11:59:38 AM GMT+5,18-24,Male,brahvi,19-24,Whatsapp,7 to 9 hours,Student,,pharm D,bachelors,4 year,,,,Yes i am intreasted,Because of the name of the source is known for you?,Because of the source name is not known for you?,I do not use Facebook,,,I do not use Instagram,,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,No i am not,,,Teacher,,,,Fake,,ignore it,NO i am not,,,,Yes i am intreasted,Due the the large number of likes,peoples are make funny,Yes i am,No,No,No,2 social media apps,Share it with others ?,I share content to promote my page  and for status seeking,Leave a  negative comment with #fake news,To tell my opinion,sending a message to sincere relatives and asking please assist you.
2023/10/26 12:00:13 PM GMT+5,18-24,Male,Pashto ,19-24,Whatsapp;Facebook;Instagram;Twitter,4 to 6 hours,Student,,Computer science ,bachelors,1 year,,,,Yes i am intreasted,Because of knowledge ,Because of the source name is not known for you?,both are real,,,first one is rumor and other two are real news.,,Because the sources of 2nd and 3rd are known for me,REAL NEWS,"I receive these messages and notifications consistently from various individuals and groups, all of which are attempting to convince me to accept their authenticity.",,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Because they want a content either it's true or false,student,I find it real,share on  other social media platforms,,,,,Yes i am interasted,"""Check the comments to verify its authenticity.""",you decide to visit the area,,no i am not,,,Yes i am,yes,yes,yes,6 social media apps,ignore it,I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,To tell my opinion,By finding on Authentic websites
2023/10/26 12:17:55 PM GMT+5,18-24,Male,Pushto,19-24,Facebook;Twitter;Other,1 to 3 hours,Student,,Computer science ,bachelors,1 year,,,,Yes i am intreasted,"Because of the name of the source is known for you?;Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.;Because of the account Blue Tick?;Because I'm worried about my safety and the possibility of financial loss.;Frank hooger beet is a well know seismologist",,"You believed the second one was real, and the first one is fake.",,"Because reason of SSGEOS twitter official account and frank hooger beet is a well known scientist,  not i prefer kalinga tv.",I do not use Instagram,,,I do not use WhatsApp,,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Because there is no signature & stamp on paper,Other,,,,,,,NO i am not,,,,no i am not,,,Yes i am,No,yes,No,6 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,Leave a  negative comment with #fake news,to aware and inform other,By finding on Authentic websites
2023/10/26 12:17:56 PM GMT+5,18-24,Male,Brahvi,13-18,Whatsapp;Facebook;Instagram;Other,less then 1 hour,Student,,Geography,bachelors,3 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Frequently this type of news are spreded,student,I find it real,share with other university WhatsApp groups,,,,,Yes i am interasted,"""Check the comments to verify its authenticity.""",you request for viewing cars in your local area,,no i am not,,,NO i am not,,,,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,to pass time,By finding on Authentic websites
2023/10/26 12:19:57 PM GMT+5,18-24,Male,Pashto,13-18,Facebook,4 to 6 hours,Student,,Computer science ,bachelors,1 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.",Because of Din muhammad kakar inter view,"You believed the first one is real, and the second one is fake.",Because first one is happen and second one don't and a cezmic wave expert said that know one can exact tell the time of earthquakes ,,I do not use Instagram,,,I belive that when natural disaster came no one escape,,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",The news was real or fake it does not matter but you should avair your self for it,student,I considered it fake,,Line number 10 was writter by hand so i think it was fake,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,4 social media apps,ignore it,I share content to promote my page  and for status seeking,ignore it,to aware and inform other,By fact-checking
2023/10/26 12:20:36 PM GMT+5,18-24,Male,Dehwari,13-18,Whatsapp;Twitter;Other,4 to 6 hours,Student,,Computer science,bachelors,1 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.;Because I'm worried about my safety and the possibility of financial loss.",Because of the source name is not known for you?,"You believed the first one is real, and the second one is fake.","Because of the name of the source ""GEO NEWS"" is known and  ""KALINGA TV"" is not",,I do not use Instagram,,,REAL NEWS,Because of the mentioned name and signature of the authentic body,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",It may be came from (wrong/un official sources) or ,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,Yes i am,yes,No,yes,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,Authenticate it from other sources?,To tell my opinion,By finding on Authentic websites
2023/10/26 12:24:54 PM GMT+5,18-24,Male,Urdu,13-18,Whatsapp;Facebook;Instagram,4 to 6 hours,Student,,Renewable energy ,bachelors,3 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I find it real,share on  other social media platforms,,,,,NO i am not,,,,no i am not,,,NO i am not,,,,2 social media apps,ignore it,I share content to promote my page  and for status seeking,ignore it,to pass time,By finding on Authentic websites
2023/10/26 1:05:27 PM GMT+5,18-24,Male,Punjabi ,13-18,Instagram,1 to 3 hours,Student,,faculty of pharmacy and health Science ,bachelors,4 year,,,,Yes i am intreasted,"Because of Retweets , Views and Likes?",Because of the followers are not enough for you?,both are fake,,,first one is real and other two are rumors.,My belief is based on the higher number of likes and comments on the first post in comparison to the other two.,,FAKE NEWS,,They are not authentic or verified by any person most of the time people share information without considering that is it real or not,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",this can never be fake,student,I considered it fake,,Authentiate it from teachers,,,,NO i am not,,,,no i am not,,,NO i am not,,,,6 social media apps,Share it with others ?,"I share content to connect, engage, and exchange views with my network.",ignore it,i don't ,By fact-checking
2023/10/26 1:06:28 PM GMT+5,25-34,Male,Balochi ,13-18,Whatsapp;Facebook;Instagram;Twitter,7 to 9 hours,Student,,Governance and public policy ,bachelors,4 year,,,,Yes i am intreasted,Because of the name of the source is known for you?,Because of the followers are not enough for you?,I do not use Facebook,,,first one is rumor and other two are real news.,,"Because of the authentic authority name ""PMD"" mentioned in the 2nd and 3rd",FAKE NEWS,,I am not sure about these kind of informations.,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",No comments ,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,to aware and inform other,By fact-checking
2023/10/26 1:27:32 PM GMT+5,18-24,Male,Pashto,13-18,Whatsapp,1 to 3 hours,Student,,Bio chemistry,bachelors,3 year,,,,Yes i am intreasted,Because I'm worried about my safety and the possibility of financial loss.,Because of the followers are not enough for you?,both are fake,,,first one is real and other two are rumors.,source of the first post is known for me,,FAKE NEWS,,May it could be real ,No i am not,,,student,I find it real,share with other university WhatsApp groups,,,,,NO i am not,,,,no i am not,,,NO i am not,,,,2 social media apps,"""Leave a positive comment on it?""",I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,To tell my opinion,sending a message to sincere relatives and asking please assist you.
2023/10/26 1:45:34 PM GMT+5,18-24,Female,Urdu ,13-18,Whatsapp;Instagram,1 to 3 hours,Student,,Governance and Public Policy ,bachelors,4 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.",No one can actually predict the Earthquake beyond Allah ,I do not use Facebook,,,I do not use Instagram,,,May be it's real ,,,No i am not,,,student,I find it real,share with other university WhatsApp groups,,,,,Yes i am interasted,"""I'm trying to contact the seller to verify its authenticity.""",you request for viewing cars in your local area,,Yes i am intreasted,By checking the positive comments about them,It might not be fake but I think it will come into my mind that since it's too cheap then quality will definitely not be good enough.,NO i am not,,,,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,Authenticate it from other sources?,To tell my opinion,By finding on Authentic websites
2023/10/26 2:01:10 PM GMT+5,25-34,Male,Balochi,19-24,Whatsapp;Facebook;Instagram;Twitter,1 to 3 hours,Student,,Public administration ,bachelors,2 year,,,,No i am not,,,,,,,,,,,,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",.....,student,I find it real,share on  other social media platforms,,,,,Yes i am interasted,"""Check the comments to verify its authenticity.""",you request for viewing cars in your local area,,no i am not,,,Yes i am,No,yes,yes,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,To tell my opinion,By finding on Authentic websites
2023/10/26 2:31:58 PM GMT+5,18-24,Male,Urdu,13-18,Whatsapp;Facebook;Instagram;Twitter,1 to 3 hours,Student,,Geography and Regional planning ,Masters,4 year,,,,Yes i am intreasted,Because of the account Blue Tick?,Because of reading the negative quotes  on it,both are real,,,first one is real and other two are rumors.,My belief is based on the higher number of likes and comments on the first post in comparison to the other two.,,FAKE NEWS,,Because the is not known by me.,Yes i am intreasted,"""Due to the company's name and the official body's signature.""",Sometimes it may be fake or old notifications ,Other,,,,,,,NO i am not,,,,Yes i am intreasted,Due to the blue tick means it has a lot of followers.,It might be using fake name of company,Yes i am,No,No,No,2 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,To tell my opinion,By finding on Authentic websites
2023/10/26 2:41:10 PM GMT+5,18-24,Male,Balochi,13-18,Facebook,1 to 3 hours,Student,,Computer science ,bachelors,1 year,,,,No i am not,,,,,,,,,,,,No i am not,,,student,I considered it fake,,ignore it,,,,NO i am not,,,,no i am not,,,Yes i am,No,No,No,4 social media apps,"""Leave a positive comment on it?""",I share content on social media to positively aware and inform others.,share it with other sources to inform about fake news,To tell my opinion,By fact-checking
2023/10/26 3:36:56 PM GMT+5,18-24,Male,Balochi ,13-18,Whatsapp;Facebook;Instagram;Twitter;Other,4 to 6 hours,Student,,Cs department ,bachelors,1 year,,,,No i am not,,,,,,,,,,,,No i am not,,,Other,,,,,,,Yes i am interasted,"""I'm trying to contact the seller to verify its authenticity.""",you decide to visit the area,,Yes i am intreasted,Due to the blue tick means it has a lot of followers.,"Some people used to think I was fake. In hindsight, they were mostly correct. The problem was: I did not know how not to be fake, because at that time I did not really know who I was. I was trying to be nice and fit in with everyone. That tends to be a dead giveaway.",NO i am not,,,,4 social media apps,"""Leave a positive comment on it?""",I share content on social media to positively aware and inform others.,ignore it,to aware and inform other,sending a message to sincere relatives and asking please assist you.
2023/10/26 4:17:06 PM GMT+5,18-24,Female,Balochi,13-18,Whatsapp;Instagram,7 to 9 hours,Student,,Geography and regional planning,bachelors,4 year,,,,Yes i am intreasted,"Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.",Because of reading the negative quotes  on it,"You believed the second one was real, and the first one is fake.",,"Because ""GEO NEWS"" have 166k followers and ""KALINGA TV"" have 481k followers and blue tick",first one is real and other two are rumors.,My belief is based on the higher number of likes and comments on the first post in comparison to the other two.,,FAKE NEWS,,Because I think these are rumors,Yes i am intreasted,"""Due to the fear of experiencing gas load shedding issues.""",No,student,I find it real,share with other university WhatsApp groups,,,,,Yes i am interasted,"""Check the comments to verify its authenticity.""",you request for viewing cars in your local area,,Yes i am intreasted,By checking the positive comments about them,No i dont think so ,NO i am not,,,,4 social media apps,Share it with others ?,I share content on social media to positively aware and inform others.,ignore it,to aware and inform other,By finding on Authentic websites
