"Timestamp","In which age group do you belong?","Gender ","What is your native language(mother tongue)?","""At what age did you start using social media platforms?""","Please choose all of the frequently used social media platforms.","How many hours you spend on Social Media platforms daily","What is your current status?","your university name?","your department?","Degree","your current year of degree?","your organization name ?","Which department are you associated with?","what is your designation? ","Are you interested in this type of News?","If you think it to be real, what are the reasons that lead you to this conclusion? select all","If you think it to be fake , what are the reasons that lead you to this conclusion?","When you came across these posts on Facebook, first with 166k followers and the second with 481k followers, what were your initial impressions? ","why the first one  real, and the second one is fake.","why you believed the second one was real, and the first one is fake.","When you encounter these posts on Instagram, what thoughts come to your mind?","What leads you to believe that the first one is real while considering the other two as rumors?","What leads you to believe that the first one is rumor while considering the other two as real news?","You use Facebook and Instagram, while your friend uses WhatsApp and Twitter. In total, both of you use how many apps.","When you encounter alarming and threatening messages and notifications on WhatsApp, what are your thoughts regarding them? ","Why do you believe it to be authentic?","Why do you not believe it to be authentic?","Are you interested in these type of news ","why you find it real?","""Why do you believe the news is fake?""","select the correct option.","""When you encounter this notification in the WhatsApp university group about tomorrow , what were your thoughts about it?""","if you find it real what you do?","if you find it fake What you will do","""When you receive a notification about tomorrow from a colleague or any class student , what thoughts come to mind?""","What will you do when you find it real","What is your next step after finding it fake ","Are you interested in this post?","if you have a desire to buy a car and you are encounter a Facebook post in which a seller wants to sell a car at a low price, what would you do? 

""For sale: Car price 8 lakh.""","after confirming its authenticity ""What would you do if the seller invites you to visit an underdeveloped area like Ghotki, Sindh to see the car?""","why do you think it might be fake?","Are you interested in this post ? ","what are the reasons for believing them.","why you think it might be fake ","Are you interested in this post ?","if you encounter this news with such comments
·         Quetta ma ya nai poncho ya jhoot ha.
·         Allah raham kara. 
·         Asa kuch nai ha ya jhoot ha. 
·         Mara czn ko be ho gaya ha kindly koi bata sakta ha is sa khud ko kasa bachay. 
·         #Fake news.
·         Hahaha logo ka pass koi or kam nai jhooti khabara phalana ka elawa. 
Do you believe on it ?","if you encounter this news with such comments
·         Earka-e-gullab istamal karna sa app ke ankha bach sakte han
·         Quetta maryabad pink eye virus ka 10 suspects Banazir hospital ma admit han 
·         Ya rumor ha khayali makhloook ke sazish ha 
·         Pyaz katna na app ke ankho ka virus khatam ho sakt ha 
·         Pink eye virus Nawaz sharif ka mukabala nai kar sakta wo zada bara masla ha
.      Mint ka pataa ko pani ma bhego kar ankho dhona sa virus ka khatma ho sakta ha 

Do you believe on it ?","if you encounter this news with such comments
·         Covid ke waja sa mun cover karna tha ab is ke waja sa ankha be band kar la ya logo ke sazish ha taka hum dunya ma hona wala zulm ko zakh na saka 
·         Allah sab ke madad farmay 
·         Zada sa zada carrot ka istamal kara or bila zarorat bahar na nikla
·         Ya sab jhoot ha asas kuch nai ha ma khud doctor hun 
·         Ankho par kheeera rakhna sa virus khatam ho jay ga.
·         Fake news check the authentic source of updates.

Do you believe on it ?","When you determine that the news is real, what will you do?","Why you want to share it.","When you observe a Fake news, what will you do?","why do you comment on a post.","how can you authenticate a news?","","","","","","",""
"2023/10/17 7:36:23 PM GMT+5","45-54","Male","Urdu ","25-30","Other","less then 1 hour","Employed","","","","","","CS&IT","","FAKE NEWS",""," Although Balochistan is at Risk of Earthquake, but it is a open secret that Predicting earthquakes with precise accuracy is currently a major challenge in the field of seismology. Therefore, the finding of one or some researchers should not be assumed as correct and accurate. I would trust this kind of knowledge, if it was produced by some mature organization or by some standard group of research","I do not use Facebook","","","I do not use Instagram","","","4 social media apps","REAL NEWS","Because of the mentioned name and signature of the authentic body","","Real News","""Due to the company's name and the official body's signature.""","","Teacher","","","","Real","Nothing","","""I think it might be fake, so I'm ignoring it.""","","","Price is so too low","i don't use Instagram","","","","","","","ignore it","","ignore it","I never","","Fake and Just Fake","Dissatisfied"," I mostly ignore this kind of knowledge shared on the post","Again ignore it","Ignore it ","netural","private"
"2023/10/24 3:58:08 PM GMT+5","25-34","Female","Pashto","19-24","Whatsapp;Facebook;Instagram","1 to 3 hours","Employed","","","","","","Education","","Yes i am intreasted","Because of the name of the source is known for you?;Because of Retweets , Views and Likes?;Because of the account Blue Tick?;Because of account Followers are huge for you?","Because of the source name is not known for you?","both are real","","","first one is rumor and other two are real news.","","Because of the authentic authority name ""PMD"" mentioned in the 2nd and 3rd","6 social media apps","I try to verify them ","","","Yes i am intreasted","""Due to the company's name and the official body's signature.""","Usually such notices are not fake. They turn out to be true","University staff","","","","Real","share with other university colleuges","","NO i am not","","","","Yes i am intreasted","Source name is known for you","Low number of followers, the lack of reviews, and product pics which i assume have been taken from other sources are some reasons i can tell its fake page or are not trustworthy","Yes i am","No","No","No","Share it with others ?","I share content on social media to positively aware and inform others.","ignore it","To tell my opinion","By fact-checking","","","","","","",""
"2023/10/24 4:43:39 PM GMT+5","25-34","Female","Urdu","25-30","Whatsapp;Instagram","4 to 6 hours","Employed","","","","","","UOB","","No i am not","","","","","","","","","","","","","Yes i am intreasted","""Due to the company's name and the official body's signature.""","When its without company's signature etc","University staff","","","","Real","share in students group","","NO i am not","","","","no i am not","","","NO i am not","","","","Share it with others ?","I share content on social media to positively aware and inform others.","ignore it","To tell my opinion","By fact-checking","","","","","","",""
"2023/10/24 5:30:02 PM GMT+5","45-54","Male","Panjabi","25-30","Whatsapp;Facebook","less then 1 hour","Employed","","","","","","Department of Linguistics and Philology ","","No i am not","","","","","","","","","","","","","Yes i am intreasted","""Due to the fear of experiencing gas load shedding issues.""","No official protocols on letter","Other","","","","","","","Yes i am interasted","""Check the comments to verify its authenticity.""","you request for viewing cars in your local area","","no i am not","","","NO i am not","","","","Share it with others ?","I share content on social media to positively aware and inform others.","ignore it","To tell my opinion","By fact-checking","","","","","","",""
"2023/10/24 5:53:05 PM GMT+5","35-44","Male","Hindkoo","25-30","Whatsapp;Facebook","1 to 3 hours","Employed","","","","","","Administration","","No i am not","","","","","","","","","","","","","Yes i am intreasted","""Due to the fear of experiencing gas load shedding issues.""","The way this news is made","University staff","","","","Fake","","Try to authenticate from administration and other colleges.","NO i am not","","","","no i am not","","","Yes i am","No","No","No","Share it with others ?","I share content on social media to positively aware and inform others.","Authenticate it from other sources?","for seeking attention.","By finding on Authentic websites","","","","","","",""
"2023/10/24 6:10:50 PM GMT+5","35-44","Male","Persian","25-30","Whatsapp;Facebook","1 to 3 hours","Employed","","","","","","University of Balochistan","","No i am not","","","","","","","","","","","","","Yes i am intreasted","""Due to the company's name and the official body's signature.""","It is not ","University staff","","","","Fake","","Try to authenticate from administration and other colleges.","Yes i am interasted","""Check the comments to verify its authenticity.""","ignore it","","no i am not","","","Yes i am","No","No","No","ignore it","9 usually don't share content from social media since it's authentication is always questioned ","Authenticate it from other sources?","Don't comment on posts ","By fact-checking","","","","","","",""
"2023/10/24 6:29:12 PM GMT+5","25-34","Male","Pashto","19-24","Whatsapp;Facebook;Instagram;Twitter;Other","1 to 3 hours","Employed","","","","","","Education/ IT","","No i am not","","","","","","","","","","","","","Yes i am intreasted","""Due to the company's name and the official body's signature.""","Due to Frequancy of such news being floated ","University staff","","","","Fake","","Try to authenticate from administration and other colleges.","NO i am not","","","","no i am not","","","NO i am not","","","","Share it with others ?","I share content on social media to positively aware and inform others.","ignore it","to aware and inform other","By finding on Authentic websites","","","","","","",""
"2023/10/24 6:31:51 PM GMT+5","35-44","Male","Pashto","25-30","Whatsapp;Facebook;Twitter","less then 1 hour","Employed","","","","","","Security ","","No i am not","","","","","","","","","","","","","No i am not","","","University staff","","","","Fake","","Try to authenticate from administration and other colleges.","Yes i am interasted","""I'm trying to contact the seller to verify its authenticity.""","you request for viewing cars in your local area","","no i am not","","","Yes i am","No","No","No","""Leave a positive comment on it?""","I share content on social media casually to pass the time and combat boredom and for entertainment. .","ignore it","to pass time","By finding on Authentic websites","","","","","","",""
"2023/10/24 6:45:21 PM GMT+5","35-44","Male","Punjabi","25-30","Whatsapp;Facebook;Instagram","1 to 3 hours","Employed","","","","","","Finance h","","Yes i am intreasted","Because of the name of the source is known for you?","Because of the source name is not known for you?","You believed the first one is real, and the second one is fake.","Because of the name of the source ""GEO NEWS"" is known and  ""KALINGA TV"" is not","","I do not use Instagram","","","2 social media apps","After Confirmation take decisions ","","","Yes i am intreasted","""Due to the fear of experiencing gas load shedding issues.""","Becoz its make alarming ","University staff","","","","Real","Nothing","","NO i am not","","","","no i am not","","","NO i am not","","","","Share it with others ?","I share content on social media to positively aware and inform others.","ignore it","To tell my opinion","By finding on Authentic websites","","","","","","",""
"2023/10/24 8:30:55 PM GMT+5","35-44","Male","Punjabi","25-30","Whatsapp;Facebook;Instagram;Twitter;Other","4 to 6 hours","Employed","","","","","","Accounts","Accounts Officer ","Yes i am intreasted","Because of the usage of the name ""Dutch scientist"" in the first post, whose previous predictions about Turkey have been accurate.;Because, Some time such type of News are based on real fact and results ","Because of the source name is not known for you?","You believed the first one is real, and the second one is fake.","Because of the name of the source ""GEO NEWS"" is known and  ""KALINGA TV"" is not","","first one is real and other two are rumors.","Some times we have same news from other sources too","","4 social media apps","I will discuss such news with my seniors to make sure regarding the authenticity of such news","","","Yes i am intreasted","I believe its real, because whenever i see this post, it always compiled accordingly","I don't its Fake I believe its real, because whenever i see this post, it always compiled accordingly","University staff","","","","Fake","","Try to authenticate from administration and other colleges.","Yes i am interasted","""I think it might be fake, so I'm ignoring it.""","","Because, I have some knowledge regarding the value of such car, So, its not possible 8 lack for this car ","no i am not","","","NO i am not","","","","Share it with others ?","i share content on social media because i encounter the same news from different sources and platforms","Authenticate it from other sources?","To tell my opinion","sending a message to sincere relatives and asking please assist you.","","","","","","",""
